Tran ID,Cat,Item,Qty,Unit Price
25008,legumes,black-eyed peas,2,8.23
25008,legumes,chickpeas,2,5.12
25008,fruits,apples,2,9.6
25008,fruits,grapes,2,3.2
25044,vegetables,lettuce,3,9.11
25049,legumes,lentils,3,1.73
25055,vegetables,lettuce,3,9.11
25061,fruits,apples,1,9.6
25061,vegetables,potatos,1,1.97
25061,fruits,bananas,4,6.72
25061,legumes,chickpeas,1,5.12
25066,vegetables,potatos,1,1.97
25066,vegetables,carrots,4,6.05
25066,vegetables,broccoli,2,2.18
25069,legumes,black-eyed peas,2,8.23
25069,fruits,grapes,1,3.2
25070,,LETTUCE,2,9.11
25070,VEGETABLES,,5,1.97
25086,legumes,lentils,2,1.73
25086,legumes,lentils,3,1.73
25096,vegetables,broccoli,2,2.18
25096,legumes,chickpeas,1,5.12
25096,vegetables,lettuce,1,9.11
25096,vegetables,potatos,4,1.97
25103,vegetables,broccoli,3,2.18
25103,legumes,black-eyed peas,2,8.23
25113,vegetables,carrots,3,6.05
25113,fruits,bananas,2,6.72
25113,fruits,oranges,5,9.44
25113,vegetables,broccoli,3,2.18
25119,vegetables,broccoli,4,2.18
25121,vegetables,lettuce,5,9.11
25121,legumes,lentils,3,1.73
25121,fruits,bananas,4,6.72
25121,fruits,oranges,1,9.44
25131,vegetables,broccoli,3,2.18
25131,vegetables,broccoli,4,2.18
25141,legumes,lentils,1,1.73
25141,fruits,bananas,4,6.72
25141,vegetables,potatos,3,1.97
25155,vegetables,lettuce,4,9.11
25155,fruits,oranges,4,9.44
25155,legumes,chickpeas,1,5.12
25164,legumes,black-eyed peas,3,8.23
25164,vegetables,lettuce,4,9.11
25164,fruits,grapes,3,3.2
25169,fruits,grapes,1,3.2
25180,legumes,black-eyed peas,2,8.23
25180,vegetables,lettuce,4,9.11
25180,fruits,apples,1,9.6
25180,vegetables,lettuce,3,9.11
25181,legumes,navy beans,2,0.24
25181,fruits,apples,3,9.6
25181,vegetables,potatos,4,1.97
25181,legumes,black-eyed peas,3,8.23
25205,legumes,chickpeas,5,5.12
25205,vegetables,potatos,3,1.97
25205,legumes,black-eyed peas,5,8.23
25205,vegetables,carrots,4,6.05
25210,legumes,chickpeas,1,5.12
25210,fruits,oranges,5,9.44
25210,legumes,navy beans,1,0.24
25210,fruits,oranges,1,9.44
25211,legumes,navy beans,2,0.24
25211,vegetables,potatos,3,1.97
25222,legumes,chickpeas,2,5.12
25222,legumes,navy beans,5,0.24
25222,fruits,grapes,4,3.2
25223,legumes,black-eyed peas,1,8.23
25223,vegetables,broccoli,1,2.18
25229,vegetables,lettuce,5,9.11
25229,legumes,navy beans,3,0.24
25229,fruits,apples,3,9.6
25229,fruits,apples,2,9.6
25248,fruits,apples,4,9.6
25248,legumes,black-eyed peas,1,8.23
25248,vegetables,carrots,1,6.05
25248,legumes,black-eyed peas,1,8.23
25257,vegetables,broccoli,4,2.18
25266,legumes,navy beans,4,0.24
25266,legumes,navy beans,5,0.24
25266,vegetables,broccoli,5,2.18
25266,fruits,apples,2,9.6
25274,vegetables,lettuce,1,9.11
25274,fruits,bananas,2,6.72
25274,vegetables,broccoli,2,2.18
25278,fruits,apples,2,9.6
25278,legumes,chickpeas,4,5.12
25283,fruits,apples,5,9.6
25283,legumes,navy beans,3,0.24
25283,legumes,lentils,1,1.73
25283,vegetables,broccoli,5,2.18
25291,fruits,bananas,1,6.72
25291,legumes,navy beans,3,0.24
25291,vegetables,broccoli,5,2.18
25295,legumes,lentils,4,1.73
25295,fruits,bananas,5,6.72
25306,vegetables,carrots,5,6.05
25312,vegetables,broccoli,2,2.18
25312,vegetables,carrots,5,6.05
25319,legumes,black-eyed peas,1,8.23
25319,legumes,navy beans,1,0.24
25326,fruits,apples,2,9.6
25326,vegetables,potatos,1,1.97
25354,fruits,apples,1,9.6
25358,fruits,bananas,4,6.72
25358,fruits,grapes,1,3.2
25365,vegetables,broccoli,5,2.18
25367,fruits,grapes,2,3.2
25367,fruits,apples,4,9.6
25377,fruits,grapes,2,3.2
25377,legumes,navy beans,2,0.24
25377,vegetables,lettuce,1,9.11
25383,vegetables,potatos,1,1.97
25383,fruits,grapes,5,3.2
25390,vegetables,lettuce,4,9.11
25390,vegetables,broccoli,5,2.18
25390,legumes,black-eyed peas,3,8.23
25390,fruits,grapes,5,3.2
25398,fruits,oranges,5,9.44
25398,vegetables,potatos,4,1.97
25398,legumes,black-eyed peas,4,8.23
