Tran ID,Cat,Item,Qty,Unit Price
25008,vegetables,potatos,4,5.6
25009,fruits,apples,2,3.85
25025,legumes,black-eyed peas,5,2.96
25025,fruits,apples,3,3.85
25025,fruits,bananas,5,5.09
25025,vegetables,potatos,4,5.6
25029,fruits,oranges,1,7.89
25029,legumes,lentils,4,5.09
25031,fruits,oranges,2,7.89
25031,fruits,oranges,5,7.89
25031,legumes,navy beans,5,4.99
25038,vegetables,carrots,4,9.93
25049,vegetables,lettuce,2,9.69
25049,vegetables,potatos,2,5.6
25059,vegetables,lettuce,1,9.69
25071,fruits,apples,3,3.85
25071,fruits,grapes,1,8.84
25071,vegetables,broccoli,3,4.36
25071,legumes,navy beans,2,4.99
25078,vegetables,lettuce,1,9.69
25078,vegetables,carrots,1,9.93
25078,vegetables,potatos,5,5.6
25078,legumes,black-eyed peas,5,2.96
25089,vegetables,carrots,4,9.93
25099,legumes,navy beans,3,4.99
25099,fruits,oranges,4,7.89
25099,fruits,apples,2,3.85
25099,vegetables,potatos,2,5.6
25115,vegetables,broccoli,2,4.36
25115,legumes,black-eyed peas,1,2.96
25115,legumes,black-eyed peas,5,2.96
25130,legumes,lentils,1,5.09
25130,fruits,grapes,3,8.84
25134,fruits,grapes,3,8.84
25134,legumes,lentils,3,5.09
25134,fruits,apples,5,3.85
25134,vegetables,potatos,3,5.6
25145,fruits,bananas,3,5.09
25145,vegetables,carrots,2,9.93
25155,vegetables,potatos,5,5.6
25155,legumes,black-eyed peas,5,2.96
25155,legumes,black-eyed peas,2,2.96
25155,legumes,lentils,5,5.09
25178,vegetables,potatos,1,5.6
25178,vegetables,carrots,2,9.93
25178,fruits,grapes,2,8.84
25183,fruits,bananas,5,5.09
25185,legumes,lentils,4,5.09
25185,legumes,navy beans,3,4.99
25185,fruits,oranges,2,7.89
25185,legumes,chickpeas,4,8.18
25200,fruits,apples,2,3.85
25200,fruits,bananas,4,5.09
25206,fruits,apples,5,3.85
25206,fruits,bananas,2,5.09
25206,vegetables,carrots,2,9.93
25206,legumes,navy beans,2,4.99
25208,vegetables,carrots,3,9.93
25208,legumes,lentils,2,5.09
25214,vegetables,broccoli,2,4.36
25214,vegetables,potatos,1,5.6
25214,vegetables,broccoli,4,4.36
25224,fruits,grapes,5,8.84
25224,legumes,chickpeas,3,8.18
25224,legumes,navy beans,4,4.99
25234,vegetables,potatos,3,5.6
25234,vegetables,potatos,3,5.6
25234,legumes,chickpeas,4,8.18
25241,legumes,black-eyed peas,4,2.96
25241,legumes,lentils,4,5.09
25251,vegetables,lettuce,4,9.69
25251,vegetables,broccoli,1,4.36
25251,vegetables,potatos,4,5.6
25258,vegetables,potatos,3,5.6
25258,legumes,chickpeas,3,8.18
25258,vegetables,lettuce,2,9.69
25258,fruits,grapes,2,8.84
25264,legumes,lentils,3,5.09
25264,vegetables,potatos,5,5.6
25264,vegetables,potatos,5,5.6
25264,fruits,apples,4,3.85
25270,vegetables,lettuce,3,9.69
25270,fruits,oranges,4,7.89
25270,vegetables,potatos,5,5.6
25270,legumes,lentils,4,5.09
25282,vegetables,carrots,3,9.93
25282,fruits,grapes,3,8.84
25282,legumes,navy beans,3,4.99
25282,legumes,lentils,5,5.09
25293,legumes,lentils,5,5.09
25302,vegetables,broccoli,4,4.36
25313,fruits,apples,4,3.85
25313,fruits,apples,2,3.85
25321,fruits,bananas,2,5.09
25321,legumes,lentils,2,5.09
25321,fruits,grapes,5,8.84
25321,vegetables,lettuce,2,9.69
25322,vegetables,potatos,4,5.6
25322,legumes,lentils,5,5.09
25322,vegetables,potatos,4,5.6
25322,fruits,grapes,3,8.84
25341,vegetables,lettuce,2,9.69
25350,fruits,apples,5,3.85
25350,legumes,black-eyed peas,5,2.96
25354,fruits,grapes,5,8.84
25354,legumes,chickpeas,4,8.18
25354,vegetables,potatos,1,5.6
25354,fruits,oranges,4,7.89
25362,vegetables,lettuce,1,9.69
25362,fruits,apples,2,3.85
25373,fruits,bananas,4,5.09
25373,legumes,chickpeas,3,8.18
25373,fruits,bananas,4,5.09
25390,fruits,oranges,2,7.89
25415,vegetables,lettuce,5,9.69
25415,legumes,chickpeas,3,8.18
25421,legumes,chickpeas,5,8.18
25421,fruits,oranges,1,7.89
25421,legumes,navy beans,1,4.99
25421,legumes,navy beans,5,4.99
25430,fruits,grapes,2,8.84
25430,legumes,chickpeas,3,8.18
25430,fruits,grapes,4,8.84
25440,legumes,lentils,3,5.09
25443,legumes,black-eyed peas,1,2.96
25443,fruits,apples,3,3.85
25444,vegetables,lettuce,1,9.69
25444,vegetables,lettuce,3,9.69
25444,vegetables,broccoli,3,4.36
25444,fruits,oranges,2,7.89
25448,vegetables,broccoli,4,4.36
25448,legumes,black-eyed peas,1,2.96
25448,vegetables,potatos,1,5.6
25458,legumes,black-eyed peas,2,2.96
25458,fruits,bananas,4,5.09
25458,vegetables,carrots,1,9.93
25458,fruits,grapes,5,8.84
25460,vegetables,lettuce,1,9.69
25460,legumes,black-eyed peas,4,2.96
25460,vegetables,potatos,4,5.6
25460,fruits,bananas,1,5.09
25487,vegetables,lettuce,4,9.69
25487,vegetables,lettuce,4,9.69
25487,fruits,grapes,3,8.84
25487,vegetables,broccoli,3,4.36
25491,vegetables,lettuce,5,9.69
25491,fruits,apples,4,3.85
25500,legumes,lentils,2,5.09
25500,vegetables,carrots,5,9.93
25508,fruits,oranges,2,7.89
25517,legumes,black-eyed peas,4,2.96
25517,vegetables,carrots,3,9.93
25530,legumes,black-eyed peas,4,2.96
25530,legumes,lentils,1,5.09
25530,fruits,apples,4,3.85
25534,vegetables,broccoli,5,4.36
25534,vegetables,potatos,5,5.6
25539,legumes,black-eyed peas,2,2.96
25539,legumes,lentils,5,5.09
25544,legumes,lentils,5,5.09
25554,fruits,bananas,5,5.09
25554,fruits,bananas,2,5.09
25566,fruits,apples,3,3.85
25576,vegetables,potatos,3,5.6
25576,legumes,black-eyed peas,5,2.96
25585,fruits,bananas,5,5.09
25593,fruits,oranges,3,7.89
25593,vegetables,broccoli,3,4.36
25605,legumes,navy beans,2,4.99
25605,fruits,grapes,1,8.84
25608,fruits,grapes,2,8.84
25608,vegetables,potatos,2,5.6
25613,legumes,black-eyed peas,2,2.96
25613,vegetables,potatos,4,5.6
25613,fruits,bananas,1,5.09
25620,fruits,oranges,2,7.89
25620,vegetables,carrots,3,9.93
25620,vegetables,potatos,3,5.6
25630,legumes,navy beans,4,4.99
25630,fruits,oranges,3,7.89
25632,vegetables,lettuce,2,9.69
25632,vegetables,carrots,2,9.93
25637,legumes,navy beans,5,4.99
25637,legumes,navy beans,1,4.99
25637,legumes,chickpeas,3,8.18
25645,vegetables,potatos,2,5.6
25653,vegetables,carrots,5,9.93
25653,legumes,lentils,1,5.09
25653,legumes,black-eyed peas,4,2.96
25653,fruits,apples,2,3.85
25661,vegetables,potatos,1,5.6
25667,fruits,grapes,4,8.84
25667,legumes,navy beans,1,4.99
25669,legumes,navy beans,5,4.99
25669,fruits,grapes,5,8.84
25673,legumes,black-eyed peas,4,2.96
25673,vegetables,carrots,3,9.93
25673,legumes,chickpeas,1,8.18
25673,fruits,oranges,1,7.89
25682,vegetables,carrots,2,9.93
25682,legumes,navy beans,3,4.99
25683,legumes,lentils,4,5.09
25683,fruits,grapes,4,8.84
25683,legumes,lentils,2,5.09
25683,legumes,navy beans,3,4.99
25689,fruits,oranges,2,7.89
25689,legumes,lentils,4,5.09
25689,legumes,black-eyed peas,4,2.96
25689,vegetables,lettuce,1,9.69
25693,fruits,apples,3,3.85
25693,legumes,lentils,3,5.09
25693,fruits,oranges,3,7.89
25708,legumes,chickpeas,2,8.18
25716,vegetables,potatos,4,5.6
